NominalName,EntryName,Category,ShortDescription,Tags,RelativeLink,Language
Zuroqiro 祖罗奇罗,Zuroqiro,Organization,,Organization,/Organization/Zuroqiro 祖罗奇罗.html,English
元良山,元良山,Organization,,Organization,/Organization/元良山.html,English
天真女塾,天真女塾,Organization,,Organization,/Organization/天真女塾.html,English
木火秋,木火秋,Organization,,Organization,/Organization/木火秋.html,English
木火秋,Overview,Organization,,Organization,/Organization/Overview_.html,Other
木火秋,Notes,Organization,,Organization,/Organization/Notes_.html,Other
魅途国际,魅途国际 -> 星途国际 -> 魅途星际,Organization,,Organization,/Organization/魅途国际.html,English
Ikima,Ikima,Ocean,,Ocean,/Ocean/Ikima.html,English
Ikisia,Ikisia,Ocean,,Ocean,/Ocean/Ikisia.html,English
Kaniki,Kaniki,Ocean,,Ocean,/Ocean/Kaniki.html,English
Nabiusa,Nabuisa,Ocean,,Ocean,/Ocean/Nabiusa.html,English
README,Non-Human Characters,NonHuman,,NonHuman,/NonHuman/README.html,English
Vyongraxus,Vyongraxus,Non-Human Character,,Non-Human Character,/Non-Human Character/Vyongraxus.html,English
Leng (Last Name),Leng 冷姓,Name,,Name,/Name/Leng (Last Name).html,English
Ora (Status Name),Ora (Status Name),Name,,Name,/Name/Ora (Status Name).html,English
Glauglau,Glauglau,Moon,,Moon,/Moon/Glauglau.html,English
Lula,Lula (Tellu's Moon),Moon,,Moon,/Moon/Lula.html,English
Niou,Niou,Moon,,Moon,/Moon/Niou.html,English
Osmuk,(Moon) Osmuk - ""The Distant Moon"",Moon,,Moon,/Moon/Osmuk.html,English
Yei,(Moon) Yei (""Yeyi""),Moon,,Moon,/Moon/Yei.html,English
Reflective Weapon & Reflective Aiming,Reflective Weapon & Reflective Aiming,Military,,Military,/Military/Reflective Weapon & Reflective Aiming.html,English
天地人,天地人,Media,,Media,/Media/天地人.html,English
天地人,Description,Media,,Media,/Media/Description_.html,Other
天地人,Notes,Media,,Media,/Media/Notes_.html,Other
Helaia De Kruk,Helaia De Kruk,Medalian Order,,Medalian Order,/Medalian Order/Helaia De Kruk.html,English
Ikuria,Ikuria,Medalian Order,,Medalian Order,/Medalian Order/Ikuria.html,English
Miah,Miah,Medalian Order,,Medalian Order,/Medalian Order/Miah.html,English
Mufansa De Medala,Mufansa De Medala,Medalian Order,,Medalian Order,/Medalian Order/Mufansa De Medala.html,English
Xiramu,Xiramu,Medalian Order,,Medalian Order,/Medalian Order/Xiramu.html,English
Astra,Astra,Magic,,Magic,/Magic/Astra.html,English
Khalin,Khalin,Magic,,Magic,/Magic/Khalin.html,English
The Veil of Silence,The Veil of Silence,Magic,,Magic,/Magic/The Veil of Silence.html,English
Threads of Fate,Threads of Fate,Magic,,Magic,/Magic/Threads of Fate.html,English
(Robot Fast Food),PENDING RENAME,Location,,Location,/Location/(Robot Fast Food).html,English
Blue Mountain Crystal Mine,Blue Mountain Crystal Mine,Location,,Location,/Location/Blue Mountain Crystal Mine.html,English
Distrct 19 第十九区,Distrct 19 第十九区,Location,,Location,/Location/Distrct 19 第十九区.html,English
District 9 第九区,Distrct 9 第九区,Location,,Location,/Location/District 9 第九区.html,English
Dump Site,焚化池,Location,,Location,/Location/Dump Site.html,English
El Starkan 艾斯达坦,El Starkan 艾斯达坦,Location,,Location,/Location/El Starkan 艾斯达坦.html,English
NFC Undercity (Human) Pet Store,NFC Undercity (Human) Pet Store,Location,,Location,/Location/NFC Undercity (Human) Pet Store.html,English
Open Sauna,Open Sauna,Location,,Location,/Location/Open Sauna.html,English
Pantagruel (CSU),Pantagruel 庞塔格鲁埃利安 ""(In) The Palace"",Location,,Location,/Location/Pantagruel (CSU).html,English
Portkey Collection Room,Portkey Collection Room 星标搜集库,Location,,Location,/Location/Portkey Collection Room.html,English
Rich Hill Hillside Geriatric & Rehabilitation Center,Rich Hill Hillside Geriatric & Rehabilitation Center,Location,,Location,/Location/Rich Hill Hillside Geriatric & Rehabilitation Center.html,English
Rich Hill Orphanage,Rich Hill Orphanage/Astorbridge Children’s Home,Location,,Location,/Location/Rich Hill Orphanage.html,English
Submarine District,Submarine District,Location,,Location,/Location/Submarine District.html,English
Tao Ye's Dream,Tao Ye's Dream,Location,,Location,/Location/Tao Ye's Dream.html,English
The Golden Palace,Overview,Location,,Location,/Location/The Golden Palace.html,English
The Keep Tower,The Keep Tower,Location,,Location,/Location/The Keep Tower.html,English
The Middle Seas,The Middle Seas,Location,,Location,/Location/The Middle Seas.html,English
The Spaceship Launching Memorial Park,The Spaceship Launching Memorial Park,Location,,Location,/Location/The Spaceship Launching Memorial Park.html,English
The Spaceship Launching Memorial Park,_OutWorld,Location,,Location,/Location/_OutWorld_.html,Other
Undercity 地下城,Undercity 地下城,Location,,Location,/Location/Undercity 地下城.html,English
Western Land,Western Land 西天极乐世界,Location,,Location,/Location/Western Land.html,English
九层楼图书馆,NFC Libraries,Location,,Location,/Location/九层楼图书馆.html,English
九层楼图书馆,ch:九层楼图书馆,Location,,Location,/Location/ch_九层楼图书馆_.html,Other
回合院,回合院,Location,,Location,/Location/回合院.html,English
天柱九,天柱九,Location,,Location,/Location/天柱九.html,English
涪陵镜界,涪陵镜界,Location,,Location,/Location/涪陵镜界.html,English
涪陵镜界,Description,Location,,Location,/Location/Description_.html,Other
涪陵镜界,Notes,Location,,Location,/Location/Notes_.html,Other
瑞土（神舟瑞土）,瑞土（神舟瑞土）,Location,,Location,/Location/瑞土（神舟瑞土）.html,English
立清高中,立清高中,Location,,Location,/Location/立清高中.html,English
金安寺,金安寺,Location,,Location,/Location/金安寺.html,English
金安寺,Description,Location,,Location,/Location/Description_.html,Other
Dreams,Dreams,Legend,,Legend,/Legend/Dreams.html,English
Queen's Hidden Treasure,Queen's Hidden Treasure,Legend,,Legend,/Legend/Queen's Hidden Treasure.html,English
Hyupeda (Portkey),Portkey 星刻 -> Hyupeda (Hipda),Legendary Object,,Legendary Object,/Legendary Object/Hyupeda (Portkey).html,English
瓦尔基丽雅 Valkyrja (Valkyria),瓦尔基丽雅 Valkyrja (Valkyria) (PENDING RENAME),Legendary Object,,Legendary Object,/Legendary Object/瓦尔基丽雅 Valkyrja (Valkyria).html,English
Ex Calibre,Ex Calibre 藏灵药,Legendary Entitie,,Legendary Entitie,/Legendary Entitie/Ex Calibre.html,English
Ex Calibre,Notes,Legendary Entitie,,Legendary Entitie,/Legendary Entitie/Notes_.html,Other
Robotic Marriage 机器人法案 - 机器人婚姻法,Robotic Marriage 机器人法案 - 机器人婚姻法,Legal and Law,,Legal and Law,/Legal and Law/Robotic Marriage 机器人法案 - 机器人婚姻法.html,English
Alphabetica,Alphabetica,Language,,Language,/Language/Alphabetica.html,English
Chinnanese,Chinnanese,Language,,Language,/Language/Chinnanese.html,English
Kamen,Kamen,Language,,Language,/Language/Kamen.html,English
Nacle,Nacle,Language,,Language,/Language/Nacle.html,English
Retaw,Retaw,Language,,Language,/Language/Retaw.html,English
Tatabryl,Tatabryl,Language,,Language,/Language/Tatabryl.html,English
Tellurian Languages,Tellurian Languages,Language,,Language,/Language/Tellurian Languages.html,English
The Medalian Language,The Medalian Language,Language,,Language,/Language/The Medalian Language.html,English
Appes Lake,Appes,Lake,,Lake,/Lake/Appes Lake.html,English
Artlist.zora,Artlist.zora,Internet,,Internet,/Internet/Artlist.zora.html,English
AstraTrade.zora,AstraTrade.zora,Internet,,Internet,/Internet/AstraTrade.zora.html,English
City.nfc,City.nfc,Internet,,Internet,/Internet/City.nfc.html,English
City.nfc,--Outworld,Internet,,Internet,/Internet/--Outworld_.html,Other
Citybank.nfc,Citybank.nfc,Internet,,Internet,/Internet/Citybank.nfc.html,English
Investiq.zora,Investiq.zora,Internet,,Internet,/Internet/Investiq.zora.html,English
README,Internet,Internet,,Internet,/Internet/README.html,English
Search.zora,Search.zora,Internet,,Internet,/Internet/Search.zora.html,English
TradeNova.zora,TradeNova.zora,Internet,,Internet,/Internet/TradeNova.zora.html,English
WorldWiki.nfc,WorldWiki.nfc,Internet,,Internet,/Internet/WorldWiki.nfc.html,English
生命秘度,生命秘度,Internet,,Internet,/Internet/生命秘度.html,English
Recorder,Recorder,Instrument,,Instrument,/Instrument/Recorder.html,English
Tellurian Airline Industry,Tellurian Airline Industry,Industry,,Industry,/Industry/Tellurian Airline Industry.html,English
大型战斗、多用机甲 World Devourer,大型战斗、多用机甲 World Devourer,Industry,,Industry,/Industry/大型战斗、多用机甲 World Devourer.html,English
Portrait-Organization-Aramaki_Kai,Aramaki_Kai,Image,,Image,/Image/Portrait-Organization-Aramaki_Kai.html,English
Portrait-People-Mori_Yazuki,Mori_Yazuki,Image,,Image,/Image/Portrait-People-Mori_Yazuki.html,English
Portrait-People-Qian_Qiu_Ye_Jun_Dai,Qian_Qiu_Ye_Jun_Dai,Image,,Image,/Image/Portrait-People-Qian_Qiu_Ye_Jun_Dai.html,English
README,Images,Image,,Image,/Image/README.html,English
Week of Learning,(Week of Learning),Holiday,,Holiday,/Holiday/Week of Learning.html,English
中秋节,中秋节,Holiday,,Holiday,/Holiday/中秋节.html,English
Warring States,Warring States ((Japan)),History,,History,/History/Warring States.html,English
Belle Vue Mont 青岚山,Scenic Peak 商乌丘 -> 青岚山,Geography,,Geography,/Geography/Belle Vue Mont 青岚山.html,English
Red Sea,Red Sea,Geography,,Geography,/Geography/Red Sea.html,English
天来聚居区,天来聚居区,Geography,,Geography,/Geography/天来聚居区.html,English
天柱,(Architecture, Building, Location, Scenary, Structure) 天柱,Geography,,Geography,/Geography/天柱.html,English
天罩,天罩,Geography,,Geography,/Geography/天罩.html,English
README,Generated,Generated,,Generated,/Generated/README.html,English
Gravity,(Game) Gravity 重力失控,Game,,Game,/Game/Gravity.html,English
Hard Wars,(Game) Hard Wars,Game,,Game,/Game/Hard Wars.html,English
Hero Cards,Hero Cards (王牌),Game,,Game,/Game/Hero Cards.html,English
Infinite Battles,Infinite Battles,Game,,Game,/Game/Infinite Battles.html,English
Ma Jiang 麻将,(Game) 麻将,Game,,Game,/Game/Ma Jiang 麻将.html,English
Pocket Universe,(Game) Pocket Universe 平行时空,Game,,Game,/Game/Pocket Universe.html,English
Reversi,Reversi,Game,,Game,/Game/Reversi.html,English
Star Commanders,Star Commanders/Space Commanders 星际指挥官5 (Star Mission 5),Game,,Game,/Game/Star Commanders.html,English
Theorycraft,Theorycraft,Game,,Game,/Game/Theorycraft.html,English
(The Palace) (CSU),""The Palace"",Galaxie,,Galaxie,/Galaxie/(The Palace) (CSU).html,English
Andromeda,Andromeda,Galaxie,,Galaxie,/Galaxie/Andromeda.html,English
Atum,Atum,Galaxie,,Galaxie,/Galaxie/Atum.html,English
Btum,Btum,Galaxie,,Galaxie,/Galaxie/Btum.html,English
Exvatum (比临),Exvatum (比临),Galaxie,,Galaxie,/Galaxie/Exvatum (比临).html,English
Milky Way,Milky Way,Galaxie,,Galaxie,/Galaxie/Milky Way.html,English
Pescus,Pescus,Galaxie,,Galaxie,/Galaxie/Pescus.html,English
Vinor Leader,Vinor Leader,Galaxial Conolizations (Civilizations),,Galaxial Conolizations (Civilizations),/Galaxial Conolizations (Civilizations)/Vinor Leader.html,English
Flirting Indicator,Flirting Indicator,Gadget,,Gadget,/Gadget/Flirting Indicator.html,English
The Doma System,The Doma System,G-Bound (Star) & Planet System,,G-Bound (Star) & Planet System,/G-Bound (Star) & Planet System/The Doma System.html,English
The Sol System (X13),The Sol(-II) System,G-Bound (Star) & Planet System,,G-Bound (Star) & Planet System,/G-Bound (Star) & Planet System/The Sol System (X13).html,English
Buddha Jumps Over the Wall,Buddha Jumps Over the Wall,Food,,Food,/Food/Buddha Jumps Over the Wall.html,English
Freeze Dried Smoothie Powders,Freeze Dried Smoothie Powder,Food,,Food,/Food/Freeze Dried Smoothie Powders.html,English
Milo 米咯,Milo 米咯,Food,,Food,/Food/Milo 米咯.html,English
README,Food,Food,,Food,/Food/README.html,English
Spare ribs soup with watercress and apricot kernels,Spare ribs soup with watercress and apricot kernels,Food,,Food,/Food/Spare ribs soup with watercress and apricot kernels.html,English
Steamed Pumkin Dumpling,Steamed Pumpkin Dumplings,Food,,Food,/Food/Steamed Pumkin Dumpling.html,English
Steamed Vermicelli Rolls,Steamed Vermicelli Rolls,Food,,Food,/Food/Steamed Vermicelli Rolls.html,English
Yusheng,Yusheng,Food,,Food,/Food/Yusheng.html,English
Sakura (Repurposed),Sakura (Repurposed),Flower,,Flower,/Flower/Sakura (Repurposed).html,English
Kailai,Kailai,Fighting Style,,Fighting Style,/Fighting Style/Kailai.html,English
Sprat,Sprat,Fauna,,Fauna,/Fauna/Sprat.html,English
Valzars,Valzar,Fauna,,Fauna,/Fauna/Valzars.html,English
Vyronyx,Vyronyx,Fauna,,Fauna,/Fauna/Vyronyx.html,English
Medalian Dressing Culture Survey,Medalian Dressing Culture Survey,Fashion and Clothing,,Fashion and Clothing,/Fashion and Clothing/Medalian Dressing Culture Survey.html,English
Story of Two Brothers,Story of Two Brothers 两兄弟寓言,Fairy Tales, Fables, Legends, Myths, Storie,,Fairy Tales, Fables, Legends, Myths, Storie,/Fairy Tales, Fables, Legends, Myths, Storie/Story of Two Brothers.html,English
Century Confrontation,Century Confrontation,Event,,Event,/Event/Century Confrontation.html,English
The four Great Unification,The four Great Unification,Event,,Event,/Event/The four Great Unification.html,English
The Great Expedition,(The Great Expedition),Event,,Event,/Event/The Great Expedition.html,English
The Medalian Visit (The First Contact),The Medalian Visit (The First Contact),Event,,Event,/Event/The Medalian Visit (The First Contact).html,English
对于冷家的抗议,Denial of Leng Family's Dominance Role 对于冷家的抗议,Event,,Event,/Event/对于冷家的抗议.html,English
第九号天柱爆炸事件,(Accident, Event, 天柱) 第九号天柱爆炸事件,Event,,Event,/Event/第九号天柱爆炸事件.html,English
Think Box at NFC Libraries,Think Box at NFC Libraries,Entitie,,Entitie,/Entitie/Think Box at NFC Libraries.html,English
Traveller,Traveller 漫游者,Entitie,,Entitie,/Entitie/Traveller.html,English
Cryptocurrency,Cryptocurrency,Economic,,Economic,/Economic/Cryptocurrency.html,English
九层楼核心价值,九层楼核心价值,Document,,Document,/Document/九层楼核心价值.html,English
九层楼的规则,九层楼的规则,Document,,Document,/Document/九层楼的规则.html,English
MIracle Studies,Miracle Studies,Descipline,,Descipline,/Descipline/MIracle Studies.html,English
Aranthra Metarian,Aranthra Metarian,Deitie,,Deitie,/Deitie/Aranthra Metarian.html,English
Krovinos,Krovinos,Deitie,,Deitie,/Deitie/Krovinos.html,English
Poladin (God of Sex),Poladin (God of Sex) (European),Deitie,,Deitie,/Deitie/Poladin (God of Sex).html,English
README,Gods and Deities,Deitie,,Deitie,/Deitie/README.html,English
(Giant Event Halls),Giant Event Halls,Culture,,Culture,/Culture/(Giant Event Halls).html,English
(Konralika People Name Culture),(Konralika People Name Culture),Culture,,Culture,/Culture/(Konralika People Name Culture).html,English
Konralika Mating Tradition,Konralika Mating Tradition,Culture,,Culture,/Culture/Konralika Mating Tradition.html,English
Medala Naming Culture,Medala Naming Culture,Culture,,Culture,/Culture/Medala Naming Culture.html,English
Medalian Ella Companions,Medalian Ella Companions,Culture,,Culture,/Culture/Medalian Ella Companions.html,English
Tellurian Lifestyle,Tellurian Lifestyle,Culture,,Culture,/Culture/Tellurian Lifestyle.html,English
九层楼不收录菜式以及食物名单,九层楼不收录菜式以及食物名单,Culture,,Culture,/Culture/九层楼不收录菜式以及食物名单.html,English
Walking Buffet,Walking Buffet,Cuisine Style,,Cuisine Style,/Cuisine Style/Walking Buffet.html,English
亲宴,亲宴,Cuisine Style,,Cuisine Style,/Cuisine Style/亲宴.html,English
沙县小吃,沙县小吃,Cuisine Style,,Cuisine Style,/Cuisine Style/沙县小吃.html,English
茶楼，广州点心,茶楼，广州点心,Cuisine Style,,Cuisine Style,/Cuisine Style/茶楼，广州点心.html,English
(Ancient) Balnum,(Ancient) Balnum,Countrie,,Countrie,/Countrie/(Ancient) Balnum.html,English
(Female Kingdom),(Female Kingdom),Countrie,,Countrie,/Countrie/(Female Kingdom).html,English
(东骊共和国),东骊共和国,Countrie,,Countrie,/Countrie/(东骊共和国).html,English
Anzu,Anzu,Countrie,,Countrie,/Countrie/Anzu.html,English
Audas,Audas,Countrie,,Countrie,/Countrie/Audas.html,English
Austinbu,Austinbu,Countrie,,Countrie,/Countrie/Austinbu.html,English
Axi,Axi,Countrie,,Countrie,/Countrie/Axi.html,English
Chinnan,Chinnan,Countrie,,Countrie,/Countrie/Chinnan.html,English
Commonwealth of Jorenia,Commonwealth of Jorenia,Countrie,,Countrie,/Countrie/Commonwealth of Jorenia.html,English
Country - 001,Country - 001,Countrie,,Countrie,/Countrie/Country - 001.html,English
Federal Republic of Bremont,Federal Republic of Bremont,Countrie,,Countrie,/Countrie/Federal Republic of Bremont.html,English
Gandi 甘地,Gandi,Countrie,,Countrie,/Countrie/Gandi 甘地.html,English
Haiti,Haiti 海地,Countrie,,Countrie,/Countrie/Haiti.html,English
Hanuda,Hanuda,Countrie,,Countrie,/Countrie/Hanuda.html,English
Jor,Jor,Countrie,,Countrie,/Countrie/Jor.html,English
Kanit,Kanit,Countrie,,Countrie,/Countrie/Kanit.html,English
Kingdom of Drakken,Kingdom of Drakken,Countrie,,Countrie,/Countrie/Kingdom of Drakken.html,English
Koban,Koban,Countrie,,Countrie,/Countrie/Koban.html,English
Konralika,Konralika,Countrie,,Countrie,/Countrie/Konralika.html,English
Nerssua,Nerssua,Countrie,,Countrie,/Countrie/Nerssua.html,English
Pumuna,Pumuna,Countrie,,Countrie,/Countrie/Pumuna.html,English
README,Countries of the World,Countrie,,Countrie,/Countrie/README.html,English
Satusha,Satusha,Countrie,,Countrie,/Countrie/Satusha.html,English
Sota,Sota 索他,Countrie,,Countrie,/Countrie/Sota.html,English
Takensian,Takensian,Countrie,,Countrie,/Countrie/Takensian.html,English
The Floating Heaven,The Floating Heaven,Countrie,,Countrie,/Countrie/The Floating Heaven.html,English
The Holy City,The Holy City,Countrie,,Countrie,/Countrie/The Holy City.html,English
TNE,TNE,Countrie,,Countrie,/Countrie/TNE.html,English
UVSR,UVSR,Countrie,,Countrie,/Countrie/UVSR.html,English
Valios,Valios,Countrie,,Countrie,/Countrie/Valios.html,English
Zan,Zan,Countrie,,Countrie,/Countrie/Zan.html,English
Áo dài 奥黛,Ao Dai,Countrie,,Countrie,/Countrie/Áo dài 奥黛.html,English
Akhan,Akhan,Continent,,Continent,/Continent/Akhan.html,English
Amabusa,Amabusa,Continent,,Continent,/Continent/Amabusa.html,English
Amajin,Amajin,Continent,,Continent,/Continent/Amajin.html,English
Amamu,Amamu,Continent,,Continent,/Continent/Amamu.html,English
Amasia,Amasia,Continent,,Continent,/Continent/Amasia.html,English
Arphyria,Arphyria,Continent,,Continent,/Continent/Arphyria.html,English
Axia,Axis,Continent,,Continent,/Continent/Axia.html,English
Ereb,Ereb,Continent,,Continent,/Continent/Ereb.html,English
Latin,Latin,Continent,,Continent,/Continent/Latin.html,English
Neyu,Neyu,Continent,,Continent,/Continent/Neyu.html,English
Runkatul,Runkatul,Continent,,Continent,/Continent/Runkatul.html,English
Taramor,Taramor,Continent,,Continent,/Continent/Taramor.html,English
Animal Intelligence,Animal Intelligence,Construct,,Construct,/Construct/Animal Intelligence.html,English
Blackhole Technologies,Blackhole Technologies,Construct,,Construct,/Construct/Blackhole Technologies.html,English
Blessing of Gods,Blessing of Gods,Construct,,Construct,/Construct/Blessing of Gods.html,English
Death,Death,Construct,,Construct,/Construct/Death.html,English
Dream,Dream,Construct,,Construct,/Construct/Dream.html,English
Fepulans Players,Fepulans Players,Construct,,Construct,/Construct/Fepulans Players.html,English
Legendary Objects 神器,Legendary Objects,Construct,,Construct,/Construct/Legendary Objects 神器.html,English
Life After Death,Life After Death,Construct,,Construct,/Construct/Life After Death.html,English
Magic,Magic,Construct,,Construct,/Construct/Magic.html,English
Naturals,Naturals,Construct,,Construct,/Construct/Naturals.html,English
NFC Intranet,NFC Intranet,Construct,,Construct,/Construct/NFC Intranet.html,English
Programmed Death Procedure,Programmed Death Procedure,Construct,,Construct,/Construct/Programmed Death Procedure.html,English
Prophecy and Future-Seeing,Prophecy and Future Seeing,Construct,,Construct,/Construct/Prophecy and Future-Seeing.html,English
Renascence,Renascence ,Construct,,Construct,/Construct/Renascence.html,English
Simulatione (The Innerverse),Simulatione (The Innerverse),Construct,,Construct,/Construct/Simulatione (The Innerverse).html,English
Super Realm,Super Realm,Construct,,Construct,/Construct/Super Realm.html,English
Tellurian Sexuality,Tellurian Sexuality,Construct,,Construct,/Construct/Tellurian Sexuality.html,English
The Many Worlds,The Many Worlds,Construct,,Construct,/Construct/The Many Worlds.html,English
Universe Timezone,Universe Timezone,Construct,,Construct,/Construct/Universe Timezone.html,English
世界特异性,世界特异性^[Most of those stuff are not true or applicable in our world],Construct,,Construct,/Construct/世界特异性.html,English
Artificial Brain,Artificial Brain,Concept,,Concept,/Concept/Artificial Brain.html,English
Center of Universe (CU),Center of Universe (CU),Concept,,Concept,/Concept/Center of Universe (CU).html,English
Central Stage of Universe (CSU),Central Stage of Universe/Central Stae of the Universe (CSU) 宇宙中央区域,Concept,,Concept,/Concept/Central Stage of Universe (CSU).html,English
Concentrated Vacuum Energy,Concentrated Vacuum Energy (Magic),Concept,,Concept,/Concept/Concentrated Vacuum Energy.html,English
Concept - Inner God (Inner Divinity),High Concept - Inherent Intellect Divinity,Concept,,Concept,/Concept/Concept - Inner God (Inner Divinity).html,English
Interstellar Human (Tellurian) Trafficking,Interstellar Human (Tellurian) Trafficking,Concept,,Concept,/Concept/Interstellar Human (Tellurian) Trafficking.html,English
Lakə (The Inherent Divinity),Lakə (The Inherent Divinity),Concept,,Concept,/Concept/Lakə (The Inherent Divinity).html,English
Medalian (Miah) Council Structure,Medalian Council Structure,Concept,,Concept,/Concept/Medalian (Miah) Council Structure.html,English
Medalian Queens,Medalian Queens,Concept,,Concept,/Concept/Medalian Queens.html,English
Tellurian Gods,Tellurian Gods,Concept,,Concept,/Concept/Tellurian Gods.html,English
The Outer World,The Outer World,Concept,,Concept,/Concept/The Outer World.html,English
而立之年,而立之年,Concept,,Concept,/Concept/而立之年.html,English
(Ancient) Eunòir,(Ancient) Eunòir,Civilization,,Civilization,/Civilization/(Ancient) Eunòir.html,English
Alhamra,Alhamra,Citie,,Citie,/Citie/Alhamra.html,English
Astralis,Astralis,Citie,,Citie,/Citie/Astralis.html,English
Augstan,Augstan,Citie,,Citie,/Citie/Augstan.html,English
Carrefour,Carrefour,Citie,,Citie,/Citie/Carrefour.html,English
Higasashi (per Vancouver),Higasashi,Citie,,Citie,/Citie/Higasashi (per Vancouver).html,English
Iluran,Iluran (Old Name),Citie,,Citie,/Citie/Iluran.html,English
Lio,Lio,Citie,,Citie,/Citie/Lio.html,English
Medalian Capital,Medalian Capital,Citie,,Citie,/Citie/Medalian Capital.html,English
Moana Region,Moana Region,Citie,,Citie,/Citie/Moana Region.html,English
NFC,NFC (九层楼),Citie,,Citie,/Citie/NFC.html,English
Rich Hill,Rich Hill,Citie,,Citie,/Citie/Rich Hill.html,English
Sky Port,Sky Port (Montemar),Citie,,Citie,/Citie/Sky Port.html,English
Stahlmere,Stahlmere,Citie,,Citie,/Citie/Stahlmere.html,English
Sɒkta,Sɒkta,Citie,,Citie,/Citie/Sɒkta.html,English
Tinye,Tinye,Citie,,Citie,/Citie/Tinye.html,English
Vandentra (per Toronto),Vandentra,Citie,,Citie,/Citie/Vandentra (per Toronto).html,English
Vulkham,Vulkham,Citie,,Citie,/Citie/Vulkham.html,English
西京,Xi Jing,Citie,,Citie,/Citie/西京.html,English
Δ⁹-THM,Delta-9-Tetrahydromerveilol (Δ⁹-THM),Chemical,,Chemical,/Chemical/Δ⁹-THM.html,English
Δ⁹-THM,External Notes,Chemical,,Chemical,/Chemical/External Notes_.html,Other
车臣牌,车臣牌,CardGame,,CardGame,/CardGame/车臣牌.html,English
Medalian Calender,Medalian Calender,Calendar,,Calendar,/Calendar/Medalian Calender.html,English
CofN Airport,CofN Airport,Building,,Building,/Building/CofN Airport.html,English
Flying Fortress 空中堡垒,Flying Fortress 空中堡垒,Building,,Building,/Building/Flying Fortress 空中堡垒.html,English
往生塔,往生塔 (PENIDNG ENGLISH/TELURIAN NAME),Building,,Building,/Building/往生塔.html,English
（黑白跳棋）,（黑白跳棋）,BoardGame,,BoardGame,/BoardGame/（黑白跳棋）.html,English
(Animal) Evolution Cladogram,Animal Evolution - Cladogram on Tellus and Ids,Biology,,Biology,/Biology/(Animal) Evolution Cladogram.html,English
Sacred Tree of Alhamra,Sacred Tree of Alhamra,Biology,,Biology,/Biology/Sacred Tree of Alhamra.html,English
The New Calendar,The New Calendar,Astronomy,,Astronomy,/Astronomy/The New Calendar.html,English
Liu's Robotic Arm,Liu's Robotic Arm,Artifact,,Artifact,/Artifact/Liu's Robotic Arm.html,English
吟唱诗人,吟唱诗人,Art,,Art,/Art/吟唱诗人.html,English
高明的化妆术,高明的化妆术,Art,,Art,/Art/高明的化妆术.html,English
Center View Tower 中央天柱,Central View Tower (Center View Tower),Architecture,,Architecture,/Architecture/Center View Tower 中央天柱.html,English
Garden Housing Complex (GHC),Garden Housing Complex (GHC),Architecture,,Architecture,/Architecture/Garden Housing Complex (GHC).html,English
Leng Family House (冷家),Leng Family House (冷家),Architecture,,Architecture,/Architecture/Leng Family House (冷家).html,English
The Sky Dome,The Sky Dome,Architecture,,Architecture,/Architecture/The Sky Dome.html,English
龟瓦琉璃院,龟瓦琉璃院,Architecture,,Architecture,/Architecture/龟瓦琉璃院.html,English
Interstellar Studies,Interstellar Studies,Academic,,Academic,/Academic/Interstellar Studies.html,English
README,Academics,Academic,,Academic,/Academic/README.html,English
